ca_address_sk|ca_street_number|ca_street_name|ca_city|ca_state|ca_zip
64|546|Meadow |Macedonia|TN|31087
65|147|Fourth Lake|Bethel|IA|55281
66|238|Pine |Crossroads|NE|60534
67|896|11th |Flint|IA|58909
68|240|Laurel Forest|Summit|TN|30499
69|37|Pine |Glendale|KY|43951
70|511|14th Sycamore|White Oak|OH|46668
71|38|Ridge |Lakeview|VA|28579
72|982|Willow |Richville|MT|65945
73|158|Green Broadway|Cedar Grove|KS|60411
74|723|Sycamore |Spring Hill|IA|56787
75|32|Pine |Valley View|AL|35124
76|257|Walnut South|Shiloh|MI|49275
77|151|Hill |Oak Grove|GA|38370
78|857|Railroad |Green Acres|SD|57683
79|409|Park 7th|Farmington|TN|39145
80|298|12th |Oakland|KY|49843
81|953|River Spruce|Union Hill|TX|77746
82|97|River Main|Buena Vista|CA|95752
83|410|Spring Poplar|Bethel|TX|75281
84|886|Sunset |Warwick|MS|51398
85|476|Willow |Five Points|PA|16098
86|699|11th 14th|Five Points|KY|46098
87||6th |Maple Grove||58252
88|104|9th |Frogtown|MI|48784
89|440|Church 7th|Lakeside|CA|99532
90|892|North East|Centerville|ND|50059
91|936||Riverside||
92|734|Ash Wilson|Newtown|ID|81749
93|755|Washington Sunset|Walnut Grove|KY|47752
94|||Lakeside|GA|
95|571|Hickory River|Woodland|NE|64854
96|246|Cedar Franklin|Oakdale|KY|49584
97|858|Sunset Main|Enterprise|TX|71757
98|346|Walnut |Spring Hill|KS|66787
99|222|Park View|Wilson|MI|46971
100|127|Railroad |Oakland|TN|39843
101|922|Wilson 1st|Bunker Hill|LA|70150
102|270|North Fourth|Newtown|FL|31749
103|467|Maple Chestnut|Forest Hills|WI|59237
104|786|Locust |Jamestown|IA|56867
105|960|Franklin |Lebanon|AL|32898
106|992|View Ash|Forest Hills|TX|79237
107|128|Laurel Church|Bethel|IN|45281
108|156|West Maple|Belmont|OR|90191
109|453|Madison 8th|Harmony|SD|55804
110|834|Hill Jackson|Hillcrest|AL|33003
111|306|Pine Lincoln|Bethel|NC|25281
112|232|Dogwood |Rankin|IA|52621
113|138|Main |Highland|IA|59454
114|576|Willow |Pleasant Valley|AZ|82477
115|543|12th 9th|Wildwood||
116|581|Oak |Deerfield|KS|69840
117|593|2nd 5th|Providence|OR|96614
118|185|Wilson |Union Hill|MS|57746
119|525|Cedar |Lakeview|OH|48579
120|741|First |Valley View|IN|45124
121|644|Sixth |Lakewood|WV|28877
122|||Woodlawn|MN|
123|319|West View|Concord|IN|44107
124|688|Woodland 2nd|Hopewell|WA|90587
125|74|7th |New Hope|CA|99431
126|196|Maple Railroad|Arlington|OH|46557
127|896|Sunset |Kingston|KS|64975
128|127|Ridge 9th|Sutton|OH|45413
129||Sunset Pine||TN|
130|194|Pine |Salem|PA|18048
131|884|Woodland Seventh|Green Acres|OK|77683
132|797|2nd |Ellisville|SC|26820
133|953|Oak 5th|Oakland|TX|79843
134|504|West Hickory|Greenwood|IN|48828
135|279|Oak |Clearview|NE|65495
136|610|Elm |Fowler|IL|61083
137|467|Second |Greenwood|NE|68828
138|99|Hillcrest 13th|Belmont|KS|60191
139|14|Pine Fourth|Pine Grove|KY|44593
140|837|Madison Washington|Union|OK|78721
141|727|Elm Center|Hartland|SD|56594
142|268|Maple |Belmont|NJ|00791
143|141|9th |Edgewood|GA|30069
144|686|Cedar |Green Acres|MI|47683
145|454|Maple |Wilson|VA|26971
146|976|Sixth Dogwood|Highland|CT|09454
147|596|Lake Maple|Mount Olive|HI|98059
148|731|14th |Cedar Grove|ND|50411
149|8|Woodland |Glenwood|GA|33511
150|121|Fifteenth |Sunnyside|AR|71952
151|125|Fifth |Shiloh|NE|69275
152|448|Sunset |Red Hill|MS|54338
153|171|River Elm|Deerfield|OH|49840
154|264|Hillcrest Lincoln|Lakewood|NV|88877
155|902|10th |Glendale|MI|43951
156|595|||TX|
157|904|Locust Seventh|Shiloh|OH|49275
158|293|Lincoln Willow|Shady Grove|NC|22812
159|544|Spruce |New Hope|FL|39431
160|676|Jefferson |Woodland|CA|94854
161|518|Center Spruce|Clifton|IL|68014
162|68|Oak Sycamore|Waterloo|KS|61675
163|484|Spring |Hamilton|WI|52808
164|435|2nd |Enterprise|DE|11757
165|144|Sunset 2nd|Woodland|NE|64854
166|335|7th |Plainview|GA|33683
167|288|Oak 3rd|Woodland|NE|64854
168|373|Maple |Providence|MO|66614
169|12||||
170|237|Walnut |Colonial Heights|MO|63425
171|871|Smith Seventh|Calhoun|MN|56909
172||5th ||MO|68054
173|715|1st |Forest Hills|KY|49237
174|986|Adams |Holiday Hills|NE|63109
175|557|4th Forest|Antioch|TX|78605
176|302|Jefferson |Midway|GA|31904
177|853|Dogwood View|Woodland|CO|84854
178|592|Davis 14th|Friendship|IA|54536
179|795|Davis Walnut|Jackson|NV|89583
180|264|Railroad 11th|Midway|IL|61904
181|469|8th |Greenwood|KS|68828
182|772|Elm |Bayside|KS|69550
183|47|Washington |Lakeside|MO|69532
184|704|Lincoln |Flatwoods|TX|74212
185|441|Willow Washington|Hillcrest|CO|83003
186|309|8th |Riverside|CO|89231
187|54|Ash 3rd|Centerville|TX|70059
188|798|West Sunset|Harmony|CT|06404
189|719|Hillcrest |Five Forks|MT|62293
190|928|Lake Lincoln|Fremont|NC|21851
191|115|12th First|Oakwood|NE|60169
192|639|Maple East|Walnut Grove|NC|27752
193|239|1st |Greenville|KY|41387
194|990|9th First|Oak Hill|AR|77838
195|939|Cedar |Mount Pleasant|GA|32739
196|860||||
197|200|Park North|Highland Park|OK|76534
198|842|3rd |Pleasant Valley|KS|62477
199|790|Pine |Lakeview|ME|09179
200|516|6th Spring|Marion|OK|70399
201|517|8th |Salem|OK|78048
202|944|Willow |Unionville|TX|71711
203|997|Cedar |Mount Zion|IL|68054
204|901|Locust Main|Friendship|MI|44536
205|525|North Franklin|Shore Acres|ID|82724
206|381|Third |Waterloo|MS|51675
207|833|Miller |Blue Springs|WI|54686
208|772|Second |Lincoln|WY|81289
209|335|River |Sulphur Springs|NC|28354
210|617|Park Hill|Shiloh|KY|49275
211|747|Willow Cedar|Bridgeport|MS|55817
212|691|9th Mill||MS|59431
213|351|1st |Superior|NM|82562
214|375|Walnut Second|Oakland|NC|29843
215|874|3rd |Sunnyside|IA|51952
216|469|Maple Laurel|Greenwood|VA|28828
217|297|7th |White Oak|NY|16668
218|998|Center Dogwood|Oakland|MN|59843
219|933|Franklin Highland|Woodbury|KS|64489
220|695|1st Oak|Liberty|KS|63451
221|940|5th |Forest Hills|CO|89237
222|393|South |Ashley|TX|74324
223|455|First |Friendship|AL|34536
224|94|Lincoln Walnut|Edgewood|MS|50069
225|673|Lincoln Washington|Altamont|IN|49387
226|247|Hickory Adams|Union|TX|78721
227|82|Seventh Fifth|Midway|AK|91904
228|776|Madison |Woodland|IA|54854
229|376|Ash |Crossroads|VA|20534
230|313|2nd Eigth|Marion|GA|30399
231|560|Lakeview |Deerfield|KY|49840
232|239|Elm |Shady Grove|IN|42812
233|957|Cherry Johnson|Clinton|NC|28222
234|986|6th Main|Crossroads|IN|40534
235|213|Madison |Lincoln|FL|31289
236|944|West Center|Lewisburg|FL|37538
237|169|Broadway Oak|Marion|AL|30399
238|566|Williams Lee|Pleasant Hill|TN|33604
239|633|Elm 9th|Franklin|IN|49101
240|8|Valley |Concord|TX|74107
241|323|Laurel |Wilson|IA|56971
242|706|Oak Woodland|Sunnyside|IL|61952
243|600|View |Crossroads|VT|01134
244|501|Dogwood Woodland|Ashland|NC|24244
245|187|Park North|Crossroads|TX|70534
246|154|1st |Union Hill|NJ|08346
247|310|Sunset |Lakewood|VA|28877
248|587|Williams Dogwood|Concord|OH|44107
249|378|First Oak|Five Points|HI|96098
250|882|Ridge Meadow|Harmony|TN|35804
251|913|First Johnson|Sugar Hill|IL|65114
252|753|Center |Bunker Hill|VA|20150
253|446|Jefferson Adams|Liberty|VA|23451
254|271|Highland |Greenfield|LA|75038
255|681||Concord|MD|
256|973|Forest |Cordova|LA|76938
257|960|4th |Ellsworth|KS|65079
258|241|Birch |Walnut Grove|FL|37752
259|888|Sunset |Elkton|FL|33481
260|629|13th Cherry|Plainview|NC|23683
261|911|Second |Harmony|GA|35804
262|718|Willow |Martinsville|VA|20419
263|75|Park Oak|Marion|MA|00999
264|17|11th |Riverdale|KY|49391
265|447|Walnut Fourth|Union|MO|68721
266|940|Second Ridge|Red Hill|SD|54338
267|671|Broadway |Bridgeport|WY|85817
268|938|Cherry |Stringtown|IA|50162
269|643|Park Main|Oak Hill|NE|67838
270|935|Ridge Hill|Lakeside|AR|79532
271|5|Chestnut Highland|Salem|VA|28048
272||Hickory |||69127
273|133|Church |Providence|IL|66614
274|789|Locust |Oak Ridge|IA|58371
275|454|Church |Harmony|TX|75804
276|767|6th |Franklin|GA|39101
277|129|Valley |Ashland|GA|34244
278|877|14th |Ashland|VA|24244
279|276|Smith 5th|Jamestown|KY|46867
280|288|Walnut 1st|Antioch|NC|28605
281|716|Oak |Mount Olive|CT|08659
282|4|Cherry |Buena Vista|VA|25752
283|49|View |Florence|UT|83394
284|766|13th |Franklin|KY|49101
285|764|Adams Main|Lincoln|MO|61289
286|103|4th Davis|Jamestown|WI|56867
287|117||Mountain View|VA|24466
288|898|15th |Mountain View|IA|54466
289|612|Davis Birch|Webb|MI|40899
290|71|Spring West|Woodland|NE|64854
291|638|Main Lakeview|Oakdale|NV|89584
292|151|2nd |Unionville|KS|61711
293|678|Smith Franklin|Edgewood|UT|80069
294|640|4th Laurel|Enterprise|GA|31757
295|195|West Cherry|Enterprise|IN|41757
296|999|2nd Main|Greenwood|KY|48828
297|571|Oak Miller|Newport|GA|31521
298|177|Church Church|Macon|ME|00969
299|10|Ash 4th|White Oak|KS|66668
300|799|10th |Macedonia|IN|41087
301|660|Lake |Hamilton|TX|72808
302|401|6th |Shiloh|MS|59275
303|49|Adams |Arlington|WV|26557
304|971|View West|Woodland|WI|54854
305|689|Fourth Ash|Springdale|IL|68883
306|81|Lee 4th|Centerville|GA|30059
307|406|Sunset Spring|Harmony|NE|65804
308|393|Poplar Lakeview|Bridgeport|NE|65817
309|925|9th |Five Points|PA|16098
310|349|Cedar Oak|Wilson|IA|56971
311|434|9th Forest|Marion|AL|30399
312|475|Smith |Union Hill|TN|37746
313|660|3rd Poplar|Lakeside|CO|89532
314|256||Highland Park||86534
315|557|Ridge |Red Hill|IA|54338
316|380|West |Warwick|MO|61398
317|603|Main Valley|Valley View|OK|75124
318|72|Main Hickory|Greenwood|OK|78828
319|682|6th Elevnth|Spring Valley|OR|96060
320|842|Sunset |Valley View|GA|35124
321|219|6th |Union|CO|88721
322|132|West |Pleasant Grove|OH|44136
323|350|Spruce |Greenville|ND|51387
324|508|3rd |Mountain View|AK|94466
325|590|Jackson North|Maple Grove|MN|58252
326|334|Broadway |Springfield|MO|69303
327|636|4th |Five Points|MO|66098
328|561|Jefferson |Glenwood|KS|63511
329|11|2nd Maple|Riverview|KY|49003
330|627|Madison |Oak Ridge|MA|08971
331|274|Main |Union|WI|58721
332|622|Spring Church|Woodville|ID|84289
333|629|Cedar |Pleasant Valley|WI|52477
334|368|Lincoln |Pomona|TX|74153
335|751|8th |Oak Ridge|MO|68371
336|878|Oak |Hopewell|MI|40587
337|262|Sixth |Providence|TX|76614
338|799|Lake |Highland|VA|29454
339|821|First Cedar|Woodland|VA|24854
340|498|Lake |Spring Valley|GA|36060
341|851|Third |Pine Grove|MO|64593
342|587|Spring |Mountain View|MS|54466
343|195|Second Oak|Riverside|IA|59231
344|322|||ND|
345|862|Sunset 6th|Mount Vernon|OK|79127
346|984|East |Elm Grove|NY|13298
347|661|15th Broadway|Oakdale|VA|29584
348|49|Sunset |Mount Olive|AL|38059
349|191|Second Elm|Enterprise|ID|81757
350|145|West Pine|Florence|NY|13394
351|962|1st |Five Forks|MO|62293
352|259|Maple |Silver Springs|WV|24843
353|275|Oak |Union|TX|78721
354|245|3rd |Franklin|GA|39101
355|348|5th |Salem|GA|38048
356|190|Main |Fairview|OK|75709
357|801|Hillcrest |Wildwood|MO|66871
358|294|6th Williams|Deerfield|IN|49840
359|147|Hickory |Fairview|MO|65709
360|683|9th |Springfield|MO|69303
361|966|West |Mount Zion|NJ|08654
362|380|View Lincoln|Valley View|VT|05724
363|341|North |Harmony|GA|35804
364|54|Elevnth |Woodville|GA|34289
365|315|Fifth Jefferson|Providence|KY|46614
366|745|3rd Spruce|Riverside|KY|49231
367|594|Cherry Main|Newport|TX|71521
368|552|3rd |Clifton|ND|58014
369|652|Spring |Pleasant Valley|VA|22477
370|143|Center |Arlington|NE|66557
371|84|West |Spring Valley|MN|56060
372|56|Fifth Wilson|Pine Grove|NY|14593
373|273|4th |Red Hill|OH|44338
374|855|Willow |Springfield|IA|59303
375|676|Mill |Spring Grove|LA|76719
376|754|Adams Highland|Jackson|AR|79583
377|353|Sixth |Oak Ridge|GA|38371
378|482|Davis |Shady Grove|KS|62812
379|973|Park Jefferson|Georgetown|MS|57057
380|407|Cedar |Mount Olive|ND|58059
381|954|Lee |Riverdale|NE|69391
382|524|3rd |Lakewood|ID|88877
383|393|Lake Adams|Waterloo|OK|71675
384|854|Cedar Mill|Royal|KS|65819
385|769|3rd First|Ashland|VA|24244
386|27|6th |Argyle|VA|28722
387|292|Oak |Pleasant Grove|GA|34136
388|401|Fourth Valley|Unionville|IL|61711
389|516|West |Bay View|GA|36457
390|367|Lee |Concord|TN|34107
391|623|Park |Wilson|TX|76971
392|964|Walnut Hill|Liberty|MO|63451
393|254|Hill Cedar|Sulphur Springs|FL|38354
394|904|Hill |Riverview|MI|49003
395|841|Third Main|Brownsville|TX|79310
396|841|Spruce |Woodlawn|CO|84098
397|114|4th |Ashland|KY|44244
398|49|Lincoln Mill|Marion|NJ|00999
399|899|Lake Birch|Unionville|OH|41711
400|26|Madison |Saratoga|IA|52123
401|352|2nd |Lincoln|CO|81289
402|521|Church Johnson|Mountain View|IA|54466
403|470|Jefferson |Riverside|TX|79231
404|185|Sunset |Fairfield|SD|56192
405|494|2nd Madison|Belmont|MO|60191
406|577|11th |Pleasant Hill|FL|33604
407|135|Miller |Woodland|MS|54854
408|62|Maple Hickory|Five Points|FL|36098
409|874|Laurel |Valley View|SC|25124
410|366|Eigth |Valley View|MN|55124
411|488|Locust Walnut|Newport|NM|81521
412|741|Maple |White Oak|NY|16668
413|507|Railroad |Greenwood|KS|68828
414|131|Miller 14th|Fairview|WY|85709
415|527|Green |Sulphur Springs|NM|88354
416|686|2nd |Red Hill|KY|44338
417|275|Poplar |Oak Grove|OK|78370
418|121|13th |Montezuma|LA|72150
419|817|6th Willow|Spring Hill|NC|26787
420|234|Sunset |Union Hill|TX|77746
421|996|14th Washington|Hopewell|ME|01187
422|4|Jefferson |Lebanon|SD|52898
423|585|10th Wilson|Franklin|NM|89101
424|261|Washington Center|Oak Ridge|TX|78371
425|441|||MN|
426|536|Main 3rd|Wildwood|SD|56871
427|853|Cherry Smith|Highland|NE|69454
428|369|14th |Guilford|NH|05008
429|344|Oak |Five Forks|GA|32293
430|864|Park South|Five Points|KS|66098
431|137|Ninth |Franklin|LA|79101
432|902|Lake |Spring Hill|IL|66787
433|92|Ash North|Union Hill|CT|08346
434|547|11th |Lakewood|NC|28877
435|598|3rd |Stringtown|NM|80162
436|129|Elm 4th|Lakewood|TX|78877
437|218|Davis Spring|Red Hill|OH|44338
438|665|Wilson |Newtown|WA|91749
439|828|2nd Miller|Mechanicsburg|GA|32219
440|551|Willow |Wright|LA|72814
441|919|4th Mill|Pleasant Grove|HI|94136
442|659|Elevnth |New Hope|GA|39431
443|346|Laurel 7th|Walnut Grove|NC|27752
444|909|15th Elm|Clinton|AR|78222
445|52|Second Highland|Mount Vernon|VA|29127
446|598|Madison Davis|Spring Valley|TN|36060
447|949|Meadow |Unionville|IN|41711
448|189|Highland |Guilford|NC|24408
449||Highland |||48222
450|282|||PA|
451|828|Lakeview Oak|Plainview|FL|33683
452|46|Sycamore |Crossroads|IA|50534
453|339|5th |Lone Oak|MN|56893
454|203|Smith 4th|Shiloh|WA|99275
455|333|Maple |Bunker Hill|WI|50150
456|36|Smith |Buena Vista|WV|25752
457|136|Poplar |Clinton|TX|78222
458||Fourth |Pine Grove||
459|629|Jackson |Pleasant Valley|MT|62477
460|730|4th Church|Stringtown|TX|70162
461|719|College |Salem|NV|88048
462|945|Mill 5th|Oak Ridge|IL|68371
463|228|Ridge Fifth|Midway|TX|71904
464|52|6th Park|Farmington|GA|39145
465|102|Mill |Highland|OK|79454
466|702|College |Allentown|MS|51838
467|175|College |Centerville|MO|60059
468|662|12th 6th|Glenwood|SD|53511
469|533|Willow |Summit|LA|70499
470|504|Main |Pleasant Grove|NC|24136
471|876|12th Ridge|Lakewood|MI|48877
472|265|Third |Sunnyside|KY|41952
473|149|Laurel Hill|Oakwood|UT|80169
474|||Johnsonville|VT|
475|937|Fifth 3rd|Hamilton|KS|62808
476|38|Church |Marion|MI|40399
477|170|Central |Marion|IN|40399
478|273|Oak |Oak Hill|OK|77838
479|336|Lincoln |Clinton|VA|28222
480|709|Franklin |Crossroads|OK|70534
481|923|8th Maple|Marion|TN|30399
482|526|Lakeview |Green Acres|PA|17683
483||||IL|
484|567|9th |Valley View|OK|75124
485|911|Hickory |Blair|NE|65465
486|128|Wilson Seventh|Summit|KY|40499
487|692|View |White Oak|MN|56668
488|24|Central |Crossroads|GA|30534
489|570|12th Ridge|Pleasant Grove|FL|34136
490|3|Main |Bethel|ME|05881
491|562|5th Smith|Concord|GA|34107
492|283|Willow Davis|Mount Vernon|CA|99127
493|774|9th |Mountain View|IL|64466
494|64|Main |Antioch|NM|88605
495|27|Adams |Shiloh|AZ|89275
496|240|Willow Walnut|New Hope|UT|89431
497|429|5th |Deerfield|AL|39840
498|682|Ridge |Waterloo|ND|51675
499|498|Lake |Five Points|IL|66098
500|740|14th Meadow|Clifton|OR|98014
501|894|Hickory Mill|Ashland|VA|24244
502|286|Poplar |Oak Grove|IL|68370
503|413|Franklin Main|Highland|TX|79454
504|739|Highland 13th|Mountain View|KY|44466
505|842|View |Kingston|KS|64975
506|464|2nd |Enterprise|MN|51757
507|36|5th |Highland|OH|49454
508|840|Railroad |Hillcrest|ID|83003
509|406|Meadow |Shady Grove|FL|32812
510|905|Locust West|Shiloh|NY|19275
511||Oak Sunset||TX|
512|487|7th |Pleasant Grove|TX|74136
513|489|Highland |Oak Grove|TX|78370
514|732|Maple |Antioch|TX|78605
515|44|4th |Riverview|WA|99003
516|347|Lincoln Cedar|Oak Hill|CO|87838
517|795|1st 10th|Egypt|NM|84921
518|98|Miller |Summit|IL|60499
519|521|View |Pleasant Hill|NV|83604
520|742|Hickory 9th|Macedonia|WV|21087
521|221|8th |Waterloo|CA|91675
522|777|Hickory 6th|Whitney|MT|68339
523|775|6th |Lakewood|IN|48877
524|915|Cedar |Hartland|VA|26594
525|607|Main 1st|Midway|MI|41904
526||Jefferson North|Johnsonville||
527||Pine Sunset|||
528|322|Smith 4th|Lakeside|MO|69532
529|950|Fifth 3rd|Springdale|MS|58883
530|928|Williams |Oakwood|TX|70169
531||Thirteenth 1st|Five Points||86098
532||Madison |||
533|25|Johnson |Maple Grove|AR|78252
534|72|Center |Clinton|TX|78222
535|210|Cedar |Deerfield|MO|69840
536|557|4th Park|Greenville|TX|71387
537|531|Main |Five Forks|NC|22293
538|472|9th Oak|Highland|OH|49454
539|667|Smith |Walnut Grove|NE|67752
540|886|12th |Bethel|WV|25281
541|158|15th |Oak Hill|TX|77838
542|353|Laurel Meadow|Lebanon|NY|12898
543|268|Forest |Green Acres|WI|57683
544|648|Wilson North|Rosebud|TX|72244
545|195|Railroad Oak|Newport|TX|71521
546|540|Elm |Mount Olive|FL|38059
547|321|Sixth North|Fox|OH|40631
548|543|Cherry Hickory|Wilson|SD|56971
549|951|6th |Liberty|NC|23451
550|994|Williams |Summit|CO|80499
551|470|5th |Bethel|NM|85281
552|460|Park |Edgewood|ME|00669
553|454|Green |Mountain View|FL|34466
554|731|Birch |Hopewell|TX|70587
555|837|Hill |Hamilton|CA|92808
556|762|Smith |Oakland|OR|99843
557|444|Sixth |Union Hill|KS|
558|976|5th |Lebanon|PA|12898
559|300|Lincoln 2nd|Stratford|FL|36668
560|228|View |Mechanicsburg|KY|42219
561|938|3rd |Oak Grove|IA|58370
562|787|4th Second|Summit|ND|50499
563||Hill Hill||MI|49454
564|462|Mill |Highland|AR|79454
565|652|Cedar |Newport|MS|51521
566|92|River 14th|Summerville|SD|52033
567|169|Spruce Walnut|Friendship|MT|64536
568|316|Ridge |California|VT|00741
569|897|Spruce |Ashland|OH|44244
570|878|Fifteenth 2nd|Lakewood|CA|98877
571|543|Oak 8th|Denmark|NH|06176
572|118|Railroad |New Hope|TX|79431
573|891|Church Chestnut|Maple Grove|MI|48252
574|856|Washington Third|Macedonia|NE|61087
575|167|Dogwood |Lakeview|TX|78579
576|682|1st |Spring Hill|TX|76787
577|985|Franklin Elm|Ellisville|OH|46820
578|550|East |Enterprise|VA|21757
579|289|Lee |Oakwood|IA|50169
580|853|Eigth |Whitesville|CA|95903
581|443|9th |Oak Grove|LA|78370
582|264|Ridge Willow|Pine Grove|KS|64593
583|809|Oak Laurel|Five Points|WA|96098
584|476|9th Ninth|Spring Hill|OH|46787
585|920|Elm 14th|Pleasant Grove|MT|64136
586|109|Cedar |Edgewood|GA|30069
587|221|Elm |Pleasant Grove|TN|34136
588|374|Williams |Crossroads|LA|70534
589|286|Maple Elm|Oak Hill|CA|97838
590|332|West Oak|Woodland|AL|34854
591|252|North |Midway|CA|91904
592|307|Highland |Bethel|TN|35281
593|223|Seventh Wilson|Lincoln|KS|61289
594|978|Mill First|Brookwood|VA|20965
595||6th Fourth|||
596|88|Green Highland|Oakdale|GA|39584
597|550|Lake |Waterloo|TN|31675
598|218|Park 4th|Shady Grove||
599|685|Jackson |Mount Zion|IA|58054
600|447|Main Davis|Green Acres|KS|67683
601|192|2nd |Fairview|NC|25709
602|13|Hill Sycamore|Sunnyside|MT|61952
603|698|Fifth 1st|Bloomingdale|IL|61824
604|949|12th |Arlington|GA|36557
605|799|North |Summit|WI|50499
606|462|Madison |New Hope|MI|49431
607|324|Sunset |Riverview|MT|69003
608|600|Fourth |Union|KS|68721
609|870|10th Adams|Mountain View|OR|94466
610|690|Maple |Marion|KS|60399
611||9th ||OH|49843
612|985|4th Cedar|Andover|MO|61639
613|756|Highland |Kingston|MO|64975
614|939|Meadow Hickory|Clifton|AL|38014
615|148|Fourth Elm|Oak Hill|GA|37838
616|992|Chestnut 6th|Lebanon|KY|42898
617|843|Twelfth |Franklin|TX|79101
618|900|Elm Park|Wilson|FL|36971
619|749|Mill Maple|Oak Ridge|CT|08971
620|305|Williams Walnut|New Hope|KS|69431
621|253|Washington Smith|Rankin|CA|92621
622|720|Birch |||26614
623|555|Pine |Red Hill|OK|74338
624|152|View Smith|Harmony|IL|65804
625|189|Center |Oakdale|TX|79584
626|647||Liberty||33451
627|816|Smith Hillcrest|Red Hill|MN|54338
628|634|Maple |Pleasant Grove|ND|54136
629|388|Sycamore Meadow|Fairview|AR|75709
630|172|College Railroad|Enterprise|CA|91757
631|442|Railroad Mill|Jamestown|MS|56867
632|11|Green |Woodlawn|IN|44098
633|971|First West|Maple Grove|TX|78252
634|556|Hickory |Wildwood|IL|66871
635|740|Elm |Forest Hills|IL|69237
636|340|6th Lincoln|Shore Acres|CA|92724
637|741|Spring |Enterprise|TN|31757
638|663|Franklin |Jamestown|MI|46867
639|860|6th Maple|Pleasant Hill|IA|53604
640|527|Laurel View|Clinton|GA|38222
641|986|Valley Willow|Lincoln|OK|71289
642|928|Walnut 9th|Brownsville|TX|79310
643|908|Spring Maple|Marion|NY|10399
644|485|Valley |Mount Zion|KS|68054
645|464|Elm Franklin|Aberdeen|IA|57995
646|591|1st West|Five Points|FL|36098
647|238|Elm Fourth|Tipton|WV|28773
648|267|Fourth |Sunnyside|CO|81952
649|504|Forest Elm|Mount Zion|AZ|88054
650|841|Birch |Red Hill|MS|54338
651|897|Mill Wilson|Cedar Grove|WA|90411
652|899|Sunset Oak|Glenwood|LA|73511
653|801|Elevnth Dogwood|Mount Pleasant|PA|12739
654|673|Elm |Unionville|TX|71711
655|848|Locust 10th|Ellisville|MS|56820
656|753|Maple 14th|Oakdale|NC|29584
657|478|7th |Bethel|AZ|85281
658|231|Wilson 3rd|Ludlow|TX|75566
659|324|College North|Riverview|NC|29003
660|968|Railroad |Colfax|MI|42565
661|333|Church Hill|Plainview|MO|63683
662|571|Adams |Wayland|OK|75115
663|126|12th |Union|TX|78721
664|419|View Miller|Pleasant Grove|GA|34136
665||River |Providence|MS|
666|158|Smith |Wildwood|VA|26871
667|494|Spring Third|Spring Valley|AR|76060
668|440|College |Forest Hills|SD|59237
669|347|3rd |Bridgeport|KY|45817
670|736|Mill Miller|Unionville|OK|71711
671|508|Hill Washington|Walnut Grove|IA|57752
672|998|Laurel Elm|Collinsville|WY|82459
673|440|Meadow Chestnut|Lawrenceville|MI|44462
